"id","utrProfileId","singlesRating","doublesRating","playerId","createdAt","updatedAt"
119,278096,"11.05","11.01",119,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
120,278799,"11.05","10.76",120,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
121,292370,"11.05","10.93",121,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
122,275720,"11.05","11.44",122,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
123,788825,"11.05","0",123,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
124,209249,"11.05","10.66",124,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
125,274904,"11.05","11.92",125,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
126,1446294,"11.05","0",126,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
127,279955,"11.05","10.98",127,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
128,1619052,"11.05","10.95",128,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
129,1784604,"11.05","11.47",129,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
130,279761,"11.05","10.95",130,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
131,278221,"11.04","11.16",64,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
132,1730003,"11.04","11.44",65,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
133,1971048,"11.04","0",66,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
134,275874,"11.04","10.93",67,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
135,2081773,"11.04","0",68,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
136,885771,"11.04","11.15",69,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
137,974698,"11.04","11.2",70,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
138,275476,"11.04","10.84",71,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
139,369804,"11.04","10.63",72,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
140,275020,"11.04","11.09",73,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
141,1947584,"11.04","11.32",74,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
142,2022266,"11.06","11.04",75,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
143,125794,"11.04","11",76,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
144,274765,"11.04","11.33",77,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
145,1963419,"11.04","10.99",78,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
146,366889,"11.04","10.56",79,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
147,275564,"11.04","0",80,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
148,945576,"11.04","10.89",81,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
149,281300,"11.05","11.5",149,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
150,149799,"11.04","11.77",107,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
151,278413,"11.07","11.42",151,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
152,302315,"11.07","11.17",152,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
153,289283,"11.07","10.65",153,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
154,276705,"11.07","11.05",154,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
155,279484,"11.07","11.74",155,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
156,1041218,"11.07","10.58",156,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
157,276877,"11.07","10.31",157,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
158,669225,"11.07","11.6",158,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
159,279476,"11.07","11.44",159,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
160,279329,"11.07","11.12",160,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
161,291328,"11.07","11.66",161,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
162,84455,"11.07","11.38",162,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
163,1544331,"11.07","11.34",163,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
164,100379,"11.07","10.59",164,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
165,1708489,"11.04","11.52",165,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
166,314936,"11.07","10.72",166,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
167,275882,"11.05","11.72",167,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
168,86766,"11.07","10.63",168,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
169,1424946,"11.07","0",169,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
170,254140,"11.07","11.17",170,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
171,1024400,"11.07","10.48",171,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
172,2035483,"11.07","11.04",172,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
173,657757,"11.07","10.94",173,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
174,304048,"11.07","10.85",174,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
175,1906528,"11.06","10.6",175,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
176,1609706,"11.06","11.99",176,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
177,1618888,"11.06","9.86",177,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
178,232082,"11.06","10.98",178,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
179,881999,"11.06","10.38",179,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
180,293573,"11.06","11.06",180,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
181,279624,"11.06","11.06",181,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
182,1722545,"11.06","11.56",182,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
183,1509748,"11.06","11.55",183,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
184,279408,"11.06","11.3",184,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
185,279953,"11.06","10.93",185,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
186,404523,"11.06","10.86",186,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
187,804433,"11.06","11.61",187,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
188,1244420,"11.06","11.15",188,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
189,1638886,"11.06","10.55",189,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
190,1878656,"11.06","11.61",190,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
191,274761,"11.06","10.86",191,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
192,669116,"11.06","11.42",192,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
193,971043,"11.06","11.35",193,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
194,1731675,"11.06","0",194,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
195,789066,"11.06","0",195,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
196,1971333,"11.06","10.84",196,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
197,1618261,"11.07","0",197,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
198,1309229,"11.06","0",198,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
199,280121,"11.07","0",199,"2020-06-10 20:28:15.398+00","2020-06-10 20:28:15.398+00"
200,1922512,"11.09","11.59",200,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
201,994867,"11.09","11.41",201,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
202,1018728,"11.09","10.74",202,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
203,304105,"11.09","10.5",203,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
204,948464,"11.09","11.25",204,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
205,297037,"11.09","10.94",205,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
206,361503,"11.09","11.61",206,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
207,280068,"11.09","11.11",207,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
208,1972085,"11.09","11.42",208,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
209,1015806,"11.09","0",209,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
210,777455,"11.09","10.81",210,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
